restaurant_name,location,city,cuisines,average_cost_for_two,aggregate_rating,votes,restaurant_type,online_order,book_table
Choco Monk,Btm,Koramangala 5Th Block,desserts,200.0,0.0,0,Delivery,No,No
Andhra Spice,Sarjapur Road,Bellandur,"north indian, hyderabadi, chinese, south indian, beverages, desserts",600.0,0.0,0,Casual Dining,No,No
Dosa Corner,Sarjapur Road,Bellandur,south indian,200.0,0.0,0,Quick Bites,Yes,No
Dunkin' Donuts,Sarjapur Road,Bellandur,desserts,300.0,0.0,0,"Quick Bites, Dessert Parlor",No,No
Tasty Yum,Sarjapur Road,Bellandur,"south indian, mughlai",300.0,0.0,0,Quick Bites,No,No
Kombo King,Btm,Koramangala 5Th Block,"north indian, south indian",300.0,0.0,0,Delivery,No,No
Priyanka's Kitchen,Whitefield,Brookefield,"north indian, south indian, chinese, desserts",350.0,0.0,0,"Takeaway, Delivery",No,No
Best Biryani,Sarjapur Road,Bellandur,"north indian, biryani, desserts",300.0,0.0,0,Quick Bites,No,No
Zaika of North,Sarjapur Road,Bellandur,"north indian, chinese",500.0,0.0,0,Quick Bites,No,No
Serene Restaurant,Hsr,Bellandur,north indian,300.0,0.0,0,Quick Bites,No,No
Shree Guru Sagar,Sarjapur Road,Bellandur,"chinese, south indian",200.0,0.0,0,Quick Bites,No,No
Punjabi Last Stand,Sarjapur Road,Bellandur,north indian,300.0,0.0,0,Quick Bites,No,No
Happy Eat,Sarjapur Road,Bellandur,"biryani, chinese, north indian",300.0,0.0,0,Quick Bites,Yes,No
A La Carte Restaurant,Sarjapur Road,Bellandur,"chinese, north indian",500.0,0.0,0,Quick Bites,No,No
Atithi Grand Veg Hotel,Sarjapur Road,Bellandur,south indian,300.0,0.0,0,Quick Bites,No,No
Delish Multi Cuisine Andhra Style Restaurant,Sarjapur Road,Bellandur,"andhra, chinese, south indian, north indian",600.0,0.0,0,Casual Dining,No,No
The Shed,Sarjapur Road,Bellandur,"cafe, fast food",400.0,0.0,0,Cafe,No,No
La Lunch Box,Koramangala 4Th Block,Koramangala 5Th Block,"italian, healthy food, salad",500.0,0.0,0,"Takeaway, Delivery",No,No
Testy Samosa Center,Marathahalli,Marathahalli,street food,150.0,0.0,0,Quick Bites,No,No
Ghar Ka Chulha,Marathahalli,Marathahalli,north indian,150.0,0.0,0,Delivery,No,No
Jhanavi Restaurant,Sarjapur Road,Bellandur,"south indian, north indian",400.0,0.0,0,Casual Dining,Yes,No
Ambur Star Dum Biryani,Sarjapur Road,Bellandur,biryani,250.0,0.0,0,Quick Bites,No,No
Burritto,Marathahalli,Marathahalli,chinese,200.0,0.0,0,"Takeaway, Delivery",No,No
Choco Fudge,Marathahalli,Marathahalli,"beverages, fast food, ice cream, sandwich",250.0,0.0,0,"Beverage Shop, Quick Bites",No,No
Foodizclub,Marathahalli,Marathahalli,"north indian, continental, mughlai, andhra",400.0,0.0,0,Delivery,No,No
Ramana Hotel,Bellandur,Bellandur,"south indian, north indian",300.0,0.0,0,Quick Bites,No,No
New Desi Paratha Point,Bellandur,Bellandur,"north indian, chinese",400.0,0.0,0,Quick Bites,No,No
Deli Chats & Sweets,Bellandur,Bellandur,"street food, mithai",200.0,0.0,0,Quick Bites,Yes,No
Xung Fu,Bellandur,Bellandur,"asian, chinese",350.0,0.0,0,Quick Bites,Yes,No
The Paratha Studio,Bellandur,Bellandur,north indian,200.0,0.0,0,Quick Bites,Yes,No
Chaatora Ghar,Bellandur,Bellandur,north indian,200.0,0.0,0,Food Court,No,No
Shree K Foods,Bellandur,Bellandur,"north indian, south indian",350.0,0.0,0,Quick Bites,No,No
Burger & Kulfi Plaza,Bellandur,Bellandur,fast food,300.0,0.0,0,"Food Court, Quick Bites",No,No
Basmati's Briyani Nation,Electronic City,Electronic City,"south indian, biryani",350.0,0.0,0,"Takeaway, Delivery",Yes,No
Cafe Xtasi,Electronic City,Electronic City,pizza,0.0,0.0,0,"Takeaway, Delivery",No,No
The Duke of Juices,Electronic City,Electronic City,"juices, beverages, salad",200.0,0.0,0,"Takeaway, Delivery",No,No
Parrattha Ssinghh,Bellandur,Bellandur,north indian,250.0,0.0,0,Quick Bites,Yes,No
Five Satr Chiken,Bellandur,Bellandur,fast food,300.0,0.0,0,Quick Bites,No,No
Biryani Treat,Bellandur,Bellandur,biryani,400.0,0.0,0,Quick Bites,No,No
Kanthari Food Court,Bellandur,Bellandur,kerala,150.0,0.0,0,Food Court,No,No
Cravingz,Bellandur,Bellandur,"fast food, beverages",400.0,0.0,0,Quick Bites,No,No
Three Side Square,Marathahalli,Marathahalli,"european, asian, north indian",400.0,0.0,0,Delivery,No,No
Nirala's Home Kitchen,Marathahalli,Marathahalli,"bihari, north indian",300.0,0.0,0,Delivery,No,No
Minuit 12,Marathahalli,Marathahalli,"north indian, chinese, fast food",350.0,0.0,0,"Takeaway, Delivery",Yes,No
La Ola,Marathahalli,Marathahalli,"fast food, chinese, north indian",300.0,0.0,0,Delivery,Yes,No
Navras,Brookefield,Marathahalli,"beverages, desserts",250.0,0.0,0,Quick Bites,No,No
Hotel Thansika,Bellandur,Bellandur,"south indian, biryani",200.0,0.0,0,Quick Bites,No,No
Malhari Juice & Chats,Bellandur,Bellandur,street food,300.0,0.0,0,"Food Court, Quick Bites",No,No
Punjabi,Bellandur,Bellandur,"north indian, chinese",500.0,0.0,0,Quick Bites,No,No
H&W Cafe,New Bel Road,New Bel Road,"cafe, healthy food, beverages",500.0,0.0,0,Cafe,No,No
Pooja Restro,New Bel Road,New Bel Road,cafe,150.0,0.0,0,Quick Bites,No,No
Best Biryani,Bellandur,Bellandur,"north indian, biryani, desserts",300.0,0.0,0,Quick Bites,No,No
Vishal Foods,Bellandur,Bellandur,fast food,300.0,0.0,0,Quick Bites,Yes,No
Shiv Shakti Hotel,Bellandur,Bellandur,north indian,200.0,0.0,0,Quick Bites,No,No
Wai Wai City,Bellandur,Bellandur,chinese,250.0,0.0,0,Quick Bites,No,No
Starve Nights,Bellandur,Bellandur,"biryani, chinese, north indian",450.0,0.0,0,Food Court,No,No
Nuty,Hsr,Koramangala 5Th Block,"north indian, biryani",300.0,0.0,0,Quick Bites,Yes,No
Sri Krishna Delight,Btm,Koramangala 5Th Block,"north indian, south indian",250.0,0.0,0,Quick Bites,No,No
Noodle,Bellandur,Bellandur,chinese,500.0,0.0,0,Food Court,No,No
4-States,Bellandur,Bellandur,south indian,250.0,0.0,0,Food Court,No,No
Maruthi Sweet Corner,Electronic City,Electronic City,desserts,300.0,0.0,0,Quick Bites,No,No
Ghar Ki Biryani,Marathahalli,Marathahalli,biryani,200.0,0.0,0,Quick Bites,No,No
The Biryani Treat,Marathahalli,Marathahalli,"biryani, north indian, desserts",400.0,0.0,0,Delivery,No,No
Chawla's 2 online.com,Marathahalli,Marathahalli,"north indian, chinese",900.0,0.0,0,Delivery,No,No
Midnight Foodie,Marathahalli,Marathahalli,north indian,250.0,0.0,0,Delivery,No,No
Vandana Foods,Marathahalli,Marathahalli,andhra,250.0,0.0,0,Delivery,No,No
Sugarly Spiced,Sanjay Nagar,New Bel Road,cafe,600.0,0.0,0,Delivery,No,No
Cafe Gazala,New Bel Road,New Bel Road,cafe,150.0,0.0,0,Cafe,No,No
Chaai Resto,New Bel Road,New Bel Road,"tea, beverages, fast food",250.0,0.0,0,"Beverage Shop, Quick Bites",Yes,No
All In One Desi Khana,Bellandur,Bellandur,"north indian, chinese, biryani",500.0,0.0,0,Quick Bites,No,No
Nawab's Kitchen,Bellandur,Bellandur,"biryani, chinese",400.0,0.0,0,Quick Bites,No,No
Pasta Twist,Bellandur,Bellandur,"italian, fast food",400.0,0.0,0,Quick Bites,No,No
Spice Treat,Bellandur,Bellandur,fast food,500.0,0.0,0,Quick Bites,No,No
Polar Bear,Cv Raman Nagar,Koramangala 5Th Block,ice cream,150.0,0.0,0,Dessert Parlor,Yes,No
Sri Mahadev Sweets,Electronic City,Electronic City,"desserts, street food, mithai",150.0,0.0,0,Quick Bites,No,No
Delhi Food Factory,Koramangala 4Th Block,Koramangala 5Th Block,north indian,500.0,0.0,0,Delivery,Yes,No
Chickpete Donne Biryani,Sanjay Nagar,New Bel Road,biryani,250.0,0.0,0,Quick Bites,Yes,No
Shri Sai Ram Andhra Hotel,Bellandur,Bellandur,"south indian, north indian",300.0,0.0,0,Quick Bites,No,No
Biriyani's & Curries,Bellandur,Bellandur,"andhra, biryani",400.0,0.0,0,Quick Bites,No,No
SM Fast Food,Btm,Koramangala 5Th Block,"south indian, north indian",300.0,0.0,0,Quick Bites,No,No
